algorithm,constructionTime,executionTime,weightMST
Kruskal Normal,6.122200,4.473000,654
Prim Geometric,2.540400,5.457500,2878
Kruskal Geometric,3.984000,5.942300,2878
Prim Nomal,3.761600,1.646500,642
Kruskal Normal,6.963100,5.801100,642
Prim Geometric,2.587400,4.482500,2785
Kruskal Geometric,3.637300,5.096400,2785
Prim Nomal,3.084000,1.581600,615
Kruskal Normal,4.183900,13.285100,615
Prim Geometric,5.981800,2.774100,2831
Kruskal Geometric,7.047900,4.282500,2831
Prim Nomal,3.175600,4.042800,626
Kruskal Normal,4.422600,6.409400,626
Prim Geometric,2.478600,2.494500,2877
Kruskal Geometric,3.573900,8.552500,2877
Prim Nomal,3.182200,1.596400,661
Kruskal Normal,4.328800,5.698300,661
Prim Geometric,2.582500,2.531500,2973
Kruskal Geometric,3.653600,4.193400,2973
Prim Nomal,3.311700,1.625200,664
Kruskal Normal,4.449900,4.440300,664
Prim Geometric,2.541200,4.089700,2832
Kruskal Geometric,3.613000,4.913000,2832
Prim Nomal,3.067500,1.888300,655
Kruskal Normal,4.134200,10.215000,655
Prim Geometric,4.083500,6.721400,2807
Kruskal Geometric,5.271000,4.850300,2807
Prim Nomal,3.246300,2.477900,646
Kruskal Normal,4.249800,6.024200,646
Prim Geometric,2.593200,2.290500,2920
Kruskal Geometric,4.051000,5.459700,2920
Prim Nomal,3.219500,1.587600,643
Kruskal Normal,4.440400,4.526900,643
Prim Geometric,5.158100,3.757000,2920
Kruskal Geometric,6.180100,4.212700,2920
Prim Nomal,3.124900,0.903700,587
Kruskal Normal,5.498600,6.621100,587
Prim Geometric,2.315400,2.099100,2629
Kruskal Geometric,3.231700,7.760900,2629
Prim Nomal,2.790100,0.845300,592
Kruskal Normal,3.840200,6.584000,592
Prim Geometric,2.008900,2.212900,2617
Kruskal Geometric,2.899700,5.332000,2617
Prim Nomal,4.463700,0.930300,570
Kruskal Normal,5.441800,7.004200,570
Prim Geometric,4.881400,8.351900,2636
Kruskal Geometric,7.603400,11.858300,2636
Prim Nomal,2.784500,1.501300,605
Kruskal Normal,3.647700,5.656900,605
Prim Geometric,2.008800,2.398800,2621
Kruskal Geometric,3.073600,5.707000,2621
Prim Nomal,2.776400,0.868500,611
Kruskal Normal,3.705200,6.113900,611
Prim Geometric,2.197100,2.316000,2586
Kruskal Geometric,3.045300,5.352700,2586
Prim Nomal,5.198500,2.578300,598
Kruskal Normal,6.281800,5.627300,598
Prim Geometric,2.040300,2.855600,2701
Kruskal Geometric,4.098400,5.597200,2701
Prim Nomal,2.952400,3.330700,605
Kruskal Normal,3.783100,8.455800,605
Prim Geometric,2.004600,2.057800,2700
Kruskal Geometric,2.841600,7.172100,2700
Prim Nomal,2.832200,0.897100,596
Kruskal Normal,3.767600,6.625700,596
Prim Geometric,2.061600,2.473500,2622
Kruskal Geometric,2.868500,5.407100,2622
Prim Nomal,2.989600,0.912800,587
Kruskal Normal,3.889600,5.739400,587
Prim Geometric,2.136100,5.874600,2646
Kruskal Geometric,3.028200,6.751900,2646
